id	Word1	Word2	Pronunciation	Meaning	Translation	Extra1	Extra2	False	confidence
1	爱	愛	ài	amar	love		爱	False	0
2	爱好	愛好	ài hào	pasatiempo	hobby		爱好	False	0
3	爸爸	爸爸	bàba	papá	dad		爸爸	False	0
4	白（形）	白	bái	sin resultados; en vano; esfuerzos de desechos; blanco	without results; in vain; waste efforts; white		白	False	0
5	八	八	bā	ocho	eight		八	False	0
6	白天	白天	bái tiān	día	day		白天	False	0
7	班	班	bān	clase	class		班	False	0
8	百	百	bǎi	centenar	hundred		百	False	0
9	吧	吧	ba	(partícula de interjección)	(interjection particle)		吧	False	0
10	半	半	bàn	medio	half		半	False	0
11	半年	半年	bàn nián	medio año	half a year		半年	False	0
12	半天	半天	bàn tiān	medio día	half day		半天	False	0
13	帮	幫	bāng	ayuda	help		帮	False	0
14	帮忙	幫忙	bāng máng	ayuda	help		帮忙	False	0
15	包	包	bāo	paquete	package		包	False	0
16	包子	包子	bāo zi	bollo	bun		包子	False	1
17	杯	盃	bēi	taza	cup		杯	False	0
18	杯子	杯子	bēi zi	taza	cup		杯子	False	0
19	北边	北邊	běi biān	lado norte	North side		北边	False	0
20	本（量）	本	běn	este; originalmente; (mida la palabra para libros o volúmenes)	this; originally; (measure word for books or volumes)		本	False	0
21	北京	北京	běi jīng	beijing	Beijing		北京	False	0
22	北	北	běi	norte	north		北	False	0
23	本子	本子	běn zi	libro	book		本子	False	0
24	别（副）	彆	bié	no; dejar; separado; alfiler	do not; leave; separate; pin		别	False	0
25	别的	別的	bié de	otro	other		别的	False	0
26	别人	別人	bié·rén	otra gente	other people		别人	False	0
27	病	病	bìng	enfermedad	disease		病	False	0
28	病人	病人	bìng rén	paciente	patient		病人	False	0
29	比	比	bǐ	partícula utilizada para comparación	particle used for comparison		比	False	0
30	不大	不大	bú dà	no grande	not big		不大	False	0
31	不客气	不客氣	bú kè qì	de nada	You’re welcome		不客气	False	0
32	不用	不用	bú yòng	no hay necesidad de	No need to		不用	False	0
33	菜	菜	cài	plato	dish		菜	False	0
34	不对	不對	bú duì	equivocado	wrong		不对	False	0
35	差	差	chà	difiere de; malo; escaso de	differ from; bad; short of		差	False	0
36	不	不	bù	no	No		不	False	0
37	茶	茶	chá	té	tea		茶	False	0
38	常常	常常	cháng cháng	a menudo	often		常常	False	0
39	常	常	cháng	a menudo	often		常	False	0
40	车	車	chē	auto	car		车	False	0
41	唱歌	唱歌	chàng gē	cantar	sing		唱歌	False	0
42	车上	車上	chē shàng	en el auto	in the car		车上	False	0
43	车票	車票	chē piào	boleto	ticket		车票	False	0
44	唱	唱	chàng	cantar	sing		唱	False	0
45	吃	喫	chī	comer	eat		吃	False	0
46	车站	車站	chē zhàn	estación	station		车站	False	0
47	吃饭	吃飯	chī fàn	tener comida	have meal		吃饭	False	0
48	出来	出來	chū lái	venir	come		出来	False	0
49	出	齣	chū	afuera	out		出	False	0
50	出去	出去	chū qù	salir	go out		出去	False	0
51	床	牀	chuáng	cama	bed		床	False	0
52	次（量）	次	cì	(mida la palabra para tiempos, frecuencia) segunda categoría; secundario	(measure word for times, frequency) second-rate; secondary		次	False	0
53	穿	穿	chuān	tener puesto	wear		穿	False	0
54	错	錯	cuò	equivocado	wrong		错	False	0
55	从	從	cóng	de	from		从	False	0
56	打（动）	打	dǎ	huelga; golpear; romper; luchar; construir; derrotar; tomar; de; desde	strike; hit; break; fight; build; beat; take; from; since		打	False	0
57	打车	打車	dǎ chē	toma un taxi	take a taxi		打车	False	0
58	打电话	打電話	dǎ diàn huà	hacer una llamada telefónica	make a phonecall		打电话	False	0
59	打开	打開	dǎ kāi	encender	turn on		打开	False	0
60	打球	打球	dǎ qiú	jugar a la pelota	play ball		打球	False	0
61	大学	大學	dà xué	universidad	university		大学	False	0
62	大	大	dà	bastante grande	large, big		大	False	0
63	大学生	大學生	dà xué shēng	estudiante universitario	university student		大学生	False	0
